ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Enlightenment Philosophy,,FOUND
2,Natural Rights Theory,1,FOUND
3,Social Contract Theory,1,FOUND
4,Popular Sovereignty,2|3,FOUND
5,Limited Government,2|3,FOUND
6,Declaration of Independence,1|2|3,FOUND
7,Articles of Confederation,,FOUND
8,Shays' Rebellion,7,FOUND
9,Constitutional Convention of 1787,7|8,FOUND
10,Virginia Plan vs New Jersey Plan,9,FOUND
11,Great Compromise,9|10,FOUND
12,Three-Fifths Compromise,9,FOUND
13,Federalists and Antifederalists,9|4,FOUND
14,Bicameral Legislature,11,FOUND
15,Republican Government,4|5,FOUND
16,Constitutional Structure,14|15|17|18|11|12,CONST
17,Separation of Powers,5|15,CONST
18,Checks and Balances,17,CONST
19,Supremacy Clause,16|38,CONST
20,Necessary and Proper Clause,16|39,CONST
21,Commerce Clause,16|39,CONST
22,Full Faith and Credit Clause,16,CONST
23,Constitutional Amendment Process,16,CONST
24,Bill of Rights,23|13,CONST
25,First Amendment,24,CONST
26,Second Amendment,24,CONST
27,Fourth Amendment,24,CONST
28,Fifth Amendment,24,CONST
29,Sixth Amendment,24,CONST
30,Eighth Amendment,24,CONST
31,Fourteenth Amendment,24,CONST
32,Fifteenth Amendment,31,CONST
33,Nineteenth Amendment,31,CONST
34,Twenty-Sixth Amendment,31,CONST
35,Constitutional Interpretation,16|104,CONST
36,Originalism,35,CONST
37,Living Constitution Theory,35,CONST
38,Federalism,16|17|4,FED
39,Enumerated Powers,38|16,FED
40,Reserved Powers,38|16,FED
41,Concurrent Powers,38|39|40,FED
42,Dual Federalism,38|39|40,FED
43,Cooperative Federalism,42,FED
44,New Federalism,43,FED
45,Fiscal Federalism,43,FED
46,Categorical Grants,45,FED
47,Block Grants,45|46,FED
48,Unfunded Mandates,46,FED
49,Nullification Doctrine,38|40,FED
50,Preemption Doctrine,19|38,FED
51,Devolution,44,FED
52,House of Representatives,14|16,CONG
53,Senate Structure,14|16|11,CONG
54,Congressional Committees,52|53,CONG
55,Conference Committees,54|60,CONG
56,Congressional Leadership,52|53,CONG
57,Speaker of the House,52|56,CONG
58,Filibuster,53,CONG
59,Cloture,58,CONG
60,Legislative Process,52|53|54,CONG
61,Committee Markup,54|60,CONG
62,Presidential Veto,60|70,CONG
63,Pocket Veto,62,CONG
64,Veto Override,62|52|53,CONG
65,Congressional Oversight,52|53|18,CONG
66,Appropriations Process,60|65,CONG
67,Gerrymandering,52|68,CONG
68,Reapportionment and Redistricting,52,CONG
69,Congressional Caucuses,52|53|161,CONG
70,Enumerated Presidential Powers,16|17,PRES
71,Informal Presidential Powers,70,PRES
72,Executive Orders,70|71,PRES
73,Treaty-Making Power,70|53,PRES
74,Commander in Chief Role,70,PRES
75,War Powers Resolution,74|52|53,PRES
76,Cabinet,70|91,PRES
77,Executive Office of the President,70|76,PRES
78,National Security Council,77,PRES
79,Office of Management and Budget,77|66,PRES
80,Presidential Appointments,70,PRES
81,Executive Privilege,71|18,PRES
82,Impeachment Process,52|53|18,PRES
83,Presidential Succession,70,PRES
84,Going Public Strategy,71|149|150,PRES
85,Signing Statements,72|70,PRES
86,Federal Bureaucracy Structure,70|16,BURO
87,Civil Service System,86,BURO
88,Merit vs Spoils System,87,BURO
89,Independent Regulatory Agencies,86,BURO
90,Government Corporations,86,BURO
91,Cabinet Departments,86,BURO
92,Federal Rulemaking Process,89|94,BURO
93,Notice and Comment Rulemaking,92,BURO
94,Administrative Law,86|100,BURO
95,Bureaucratic Accountability,86|65|18,BURO
96,Iron Triangle,86|54|165,BURO
